Mission Number,Mission Link,Mission Id,Retailer,Store,Address,Address contd,City,State,Zip / Postal Code,Mission Notes,Inventory Rating,Planogram Rating,Photo Rating,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9
2277,http://localhost:3000/mission/4f2f1ed2-aa38-4238-a867-3a800957383a,4f2f1ed2-aa38-4238-a867-3a800957383a,Target,Target,15150 CEDAR AVE,,APPLE VALLEY,MN,551247038,,3,4,,https://images.awareaf.com/mission-photos/4f2f1ed2-aa38-4238-a867-3a800957383a/8e9176fa-6ca4-4f75-a207-59ac1dc2a42e.jpg,,,,,,,,
2287,http://localhost:3000/mission/3243bda1-cd6c-4919-92eb-8ea14ab96384,3243bda1-cd6c-4919-92eb-8ea14ab96384,Target,Target,12260 BUSINESS PARK BLVD N,,CHAMPLIN,MN,55316,Missing original and teriyaki. Only two bags of peppered. ,1,1,,https://images.awareaf.com/mission-photos/3243bda1-cd6c-4919-92eb-8ea14ab96384/6ecc44ce-04de-484c-980b-bce7e4de5365.jpg,https://images.awareaf.com/mission-photos/3243bda1-cd6c-4919-92eb-8ea14ab96384/eb85f61d-78eb-482c-a7f3-a41bc85b9b2f.jpg,,,,,,,
2297,http://localhost:3000/mission/dd87e99d-ecca-41d6-8da6-d407f4106c1a,dd87e99d-ecca-41d6-8da6-d407f4106c1a,Target,Target,14333 HWY 13 S,,SAVAGE,MN,553782153,Check out new competitive refrigerated product,3,4,,https://images.awareaf.com/mission-photos/dd87e99d-ecca-41d6-8da6-d407f4106c1a/8d23abb4-d5e1-4c1b-a380-30062356faff.jpg,https://images.awareaf.com/mission-photos/dd87e99d-ecca-41d6-8da6-d407f4106c1a/35d6f660-d1d5-44dc-b317-fae5d349032f.jpg,https://images.awareaf.com/mission-photos/dd87e99d-ecca-41d6-8da6-d407f4106c1a/f7e34d75-e89b-4733-932d-d7f53415415f.jpg,https://images.awareaf.com/mission-photos/dd87e99d-ecca-41d6-8da6-d407f4106c1a/8b38629d-5294-482a-ad19-c73ac98f5edb.jpg,https://images.awareaf.com/mission-photos/dd87e99d-ecca-41d6-8da6-d407f4106c1a/f2d38b5f-c45c-4899-a274-67a14bfafc75.jpg,https://images.awareaf.com/mission-photos/dd87e99d-ecca-41d6-8da6-d407f4106c1a/50068b00-f067-4165-8c67-8517b4fd02f7.jpg,https://images.awareaf.com/mission-photos/dd87e99d-ecca-41d6-8da6-d407f4106c1a/84860b5c-062c-4b69-86f8-5b71b57a0331.jpg,https://images.awareaf.com/mission-photos/dd87e99d-ecca-41d6-8da6-d407f4106c1a/a6b6e00e-b640-496f-921f-6e1a08aa6d0f.jpg,
400,http://localhost:3000/mission/4f31daed-6c30-4e42-9420-c57042772301,4f31daed-6c30-4e42-9420-c57042772301,Target,Target,3601 HIGHWAY 100 S,,SAINT LOUIS PARK,MN,554162500,Really low on inventory ,2,5,,https://images.awareaf.com/mission-photos/4f31daed-6c30-4e42-9420-c57042772301/29355dd1-5a09-4207-b0ee-e1c705d30805.jpg,https://images.awareaf.com/mission-photos/4f31daed-6c30-4e42-9420-c57042772301/e0c5890c-f55b-4c3d-94f3-3a501d533199.jpg,https://images.awareaf.com/mission-photos/4f31daed-6c30-4e42-9420-c57042772301/ae71e8ed-ae7d-4ce0-8d03-6e748d6abd60.jpg,https://images.awareaf.com/mission-photos/4f31daed-6c30-4e42-9420-c57042772301/70284513-280f-4ac6-aeb5-979c4f16fe92.jpg,https://images.awareaf.com/mission-photos/4f31daed-6c30-4e42-9420-c57042772301/a98f4669-47b3-4975-a077-96e6ff04c5ac.jpg,,,,
419,http://localhost:3000/mission/d7ffb990-d555-4aa2-b1d1-9931fc656322,d7ffb990-d555-4aa2-b1d1-9931fc656322,Target,Target,7200 VALLEY CREEK PLZ,,WOODBURY,MN,551252265,Low inventory,1,3,,https://images.awareaf.com/mission-photos/d7ffb990-d555-4aa2-b1d1-9931fc656322/6c8d9614-d943-41d5-8f7c-00e34135d13b.jpg,https://images.awareaf.com/mission-photos/d7ffb990-d555-4aa2-b1d1-9931fc656322/ee526fdb-da6c-4fca-89d5-0a2410331d11.jpg,https://images.awareaf.com/mission-photos/d7ffb990-d555-4aa2-b1d1-9931fc656322/3bc1703e-1dfd-446b-b408-8a1566fb778a.jpg,https://images.awareaf.com/mission-photos/d7ffb990-d555-4aa2-b1d1-9931fc656322/0cbf0592-87c4-4dc0-9dec-8a2d8915cdb2.jpg,,,,,
815,http://localhost:3000/mission/8d475c0f-a806-445b-bbf4-281cbbca13e1,8d475c0f-a806-445b-bbf4-281cbbca13e1,Target,Target,27320 W LUGONIA AVE,,REDLANDS,CA,923742041,,3,3,,https://images.awareaf.com/mission-photos/8d475c0f-a806-445b-bbf4-281cbbca13e1/244f15e9-e779-4aeb-8d57-32b333e620ed.jpg,https://images.awareaf.com/mission-photos/8d475c0f-a806-445b-bbf4-281cbbca13e1/0a5fe587-f796-4679-8224-5574b389b94c.jpg,https://images.awareaf.com/mission-photos/8d475c0f-a806-445b-bbf4-281cbbca13e1/58faac8b-3b39-4a01-9c50-1785291a467d.jpg,https://images.awareaf.com/mission-photos/8d475c0f-a806-445b-bbf4-281cbbca13e1/e85254f2-06b0-4d23-b733-ef258eb6de12.jpg,https://images.awareaf.com/mission-photos/8d475c0f-a806-445b-bbf4-281cbbca13e1/0483f4f6-ac51-47e4-83e2-9a210fe50ffc.jpg,,,,
824,http://localhost:3000/mission/73002df5-3646-40d3-acbc-c27789336e2a,73002df5-3646-40d3-acbc-c27789336e2a,Target,Target,12100 HARBOR BLVD,,GARDEN GROVE,CA,928404004,,2,2,,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/65a7025b-e99d-40c1-bfad-ff89e30bcb09.jpg,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/e526cfd8-a553-4225-9022-66baef93039d.jpg,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/2a44617e-0cae-4099-a459-a1b546ebae2b.jpg,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/3f89ed99-3392-4ca2-bfe6-02abaf034169.jpg,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/29686f74-c2a4-4bfc-8139-01546b223fc3.jpg,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/dde86c01-37d2-456c-a05e-ff62ee0c6857.jpg,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/3d127975-7c14-4157-8b1f-fdabfa20dfab.jpg,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/9b2c91ce-147c-48c2-8465-e6efbc87ba2c.jpg,https://images.awareaf.com/mission-photos/73002df5-3646-40d3-acbc-c27789336e2a/5bcf766f-a5c4-4f6d-ab67-9b4aa496b5cc.jpg
2612,http://localhost:3000/mission/f20d849e-65ca-43d7-87af-ac093210b8d6,f20d849e-65ca-43d7-87af-ac093210b8d6,Target,Target,8225 FLYING CLOUD DR,,EDEN PRAIRIE,MN,553445315,No bars and end caps bad ,1,4,,https://images.awareaf.com/mission-photos/f20d849e-65ca-43d7-87af-ac093210b8d6/7b85f84d-5637-46e4-a8df-3ae8a94772c2.jpg,https://images.awareaf.com/mission-photos/f20d849e-65ca-43d7-87af-ac093210b8d6/9d37f9bc-6ac0-4cad-aa8d-3029adfbb8aa.jpg,https://images.awareaf.com/mission-photos/f20d849e-65ca-43d7-87af-ac093210b8d6/5b9d7470-28bd-4f02-8806-4a92296f22a9.jpg,https://images.awareaf.com/mission-photos/f20d849e-65ca-43d7-87af-ac093210b8d6/ba980b15-2ede-4fd8-9caf-7997c8da4f12.jpg,,,,,
2617,http://localhost:3000/mission/1d846817-ed57-4745-a1cc-c01c58bd19c7,1d846817-ed57-4745-a1cc-c01c58bd19c7,Target,Target,900 NICOLLET MALL,,MINNEAPOLIS,MN,554032530,"Good brand blocking. Brand proliferation with JL, Field Trip, LK, Krave, Vermont, Slim Jim, Old Wisconsin, Oberto, two Private Labels.

Competitive pricing for JL vs ROM.  Check lane presence with two 2.6oz SKUs.",4,4,,https://images.awareaf.com/mission-photos/1d846817-ed57-4745-a1cc-c01c58bd19c7/a52e059c-7ad3-44d7-9cc9-73dfa844c424.jpg,https://images.awareaf.com/mission-photos/1d846817-ed57-4745-a1cc-c01c58bd19c7/be3bda8d-ff43-418d-80b7-ec7fe53d7f2d.jpg,https://images.awareaf.com/mission-photos/1d846817-ed57-4745-a1cc-c01c58bd19c7/e6987e3a-e649-4b88-8394-715e7407f7b3.jpg,,,,,,
2651,http://localhost:3000/mission/d95fe15a-d4a4-478d-94b2-a21c5a644812,d95fe15a-d4a4-478d-94b2-a21c5a644812,Target,Target,3601 HIGHWAY 100 S,,SAINT LOUIS PARK,MN,554162500,,4,3,,https://images.awareaf.com/mission-photos/d95fe15a-d4a4-478d-94b2-a21c5a644812/619e8126-de6f-4596-ae28-ddf95369c629.jpg,,,,,,,,
2672,http://localhost:3000/mission/3b6de819-5ae3-414c-8d8e-9f5886d1e819,3b6de819-5ae3-414c-8d8e-9f5886d1e819,Target,Target,8900 HIGHWAY 7,,ST LOUIS PARK,MN,554263990,,3,5,,https://images.awareaf.com/mission-photos/3b6de819-5ae3-414c-8d8e-9f5886d1e819/539b1c4d-fe2c-4a5a-922d-0738738eccc2.jpg,https://images.awareaf.com/mission-photos/3b6de819-5ae3-414c-8d8e-9f5886d1e819/87dc6307-a3d4-4bf6-aa86-0405acdeb888.jpg,https://images.awareaf.com/mission-photos/3b6de819-5ae3-414c-8d8e-9f5886d1e819/a963ac02-a93f-49ed-b8f1-587bc09a741b.jpg,https://images.awareaf.com/mission-photos/3b6de819-5ae3-414c-8d8e-9f5886d1e819/5afe1a20-0b18-461b-84eb-1d28978f7460.jpg,,,,,
